Adolescent,,,,,,
Upazila,sample_strata_num,Total.Families,Total.Individuals,sample_global,pop_global,survey_weight
Teknaf,430,35010,160528,829,173105,0.389913771
Ukhiya,399,138095,629277,829,173105,1.657486413
,,,,,,
Caregiver,,,,,,
Upazila,sample_strata_num,Total.Families,Total.Individuals,sample_global,pop_global,survey_weight
Teknaf,427,35010,160528,820,173105,0.3883904
Ukhiya,393,138095,629277,820,173105,1.6645224
